question_id,judge_accuracy_first,judge_concise_first,judge_helpfulness_first,aggregate_winner,agreement
1,B,A,B,B,0.667
2,B,B,B,B,1.0
3,B,A,B,B,0.667
4,B,A,B,B,0.667
5,B,A,B,B,0.667
6,B,B,B,B,1.0
7,B,B,B,B,1.0
8,B,B,B,B,1.0
9,B,B,B,B,1.0
10,B,B,B,B,1.0
11,B,B,B,B,1.0
12,B,A,B,B,0.667
13,B,B,B,B,1.0
14,B,B,B,B,1.0
15,B,B,B,B,1.0
16,B,B,B,B,1.0
17,B,B,B,B,1.0
18,B,B,B,B,1.0
19,B,B,B,B,1.0
20,B,B,B,B,1.0
21,B,B,B,B,1.0
22,B,B,B,B,1.0
23,B,B,B,B,1.0
24,B,B,B,B,1.0
25,B,B,B,B,1.0
26,B,A,B,B,0.667
27,B,A,B,B,0.667
28,B,A,B,B,0.667
29,B,A,B,B,0.667
30,B,A,B,B,0.667
